recipe_id,ingredient_name,quantity,unit
r_001,rice,0.8,cup
r_001,garlic,1.2,tsp
r_001,pepper,1.9,tbsp
r_001,oil,1.7,gram
r_001,tomato,1.3,pieces
r_001,chilli,0.8,tsp
r_002,pepper,1.6,cup
r_002,oil,0.6,gram
r_002,pepper,1.7,pieces
r_002,salt,1.5,tbsp
r_002,tomato,1.9,tbsp
r_002,rice,1.4,tbsp
r_003,rice,1.9,tbsp
r_003,onion,1.6,cup
r_003,tomato,1.0,tbsp
r_003,tomato,1.2,pieces
r_004,onion,1.5,tsp
r_004,onion,1.8,pieces
r_004,rice,1.5,pieces
r_004,ginger,0.6,gram
r_004,,-1,tsp
r_005,ginger,0.8,tbsp
r_005,oil,1.1,cup
r_005,salt,0.8,tbsp
r_005,garlic,1.2,tsp
r_005,garlic,1.5,pieces
r_005,salt,1.9,tsp
r_006,oil,0.9,tsp
r_006,tomato,1.0,pieces
r_006,rice,0.5,tsp
r_007,salt,1.4,pieces
r_007,pepper,1.8,gram
r_007,pepper,1.8,pieces
r_007,salt,1.7,cup
r_008,garlic,0.8,tbsp
r_008,rice,1.0,cup
r_008,garlic,1.7,tsp
r_008,oil,1.3,tbsp
r_008,onion,0.7,tsp
r_009,garlic,0.7,tbsp
r_009,garlic,0.8,cup
r_009,oil,1.8,pieces
r_009,salt,1.7,tbsp
r_010,chilli,0.6,tsp
r_010,rice,1.8,tsp
r_010,garlic,0.6,pieces
r_011,salt,1.7,cup
r_011,rice,1.7,gram
r_011,chilli,1.7,cup
r_012,onion,1.6,gram
r_012,rice,1.5,cup
r_012,ginger,0.5,tbsp
r_013,pepper,0.8,pieces
r_013,tomato,0.8,gram
r_013,ginger,1.5,pieces
r_014,pepper,0.8,gram
r_014,salt,0.6,gram
r_014,garlic,1.1,tbsp
r_014,garlic,0.6,cup
r_015,ginger,0.8,tsp
r_015,onion,0.8,gram
r_015,salt,0.5,tsp
r_015,oil,0.7,pieces
r_015,rice,1.5,cup
r_016,pepper,1.2,cup
r_016,pepper,0.9,tbsp
r_016,tomato,1.3,pieces
r_016,onion,1.5,tbsp
r_016,garlic,1.0,tbsp
r_017,oil,0.5,tbsp
r_017,rice,2.0,cup
r_017,tomato,1.7,pieces
r_018,rice,1.4,tsp
r_018,tomato,0.5,tsp
r_018,garlic,1.1,gram
r_018,garlic,1.2,gram
r_018,rice,0.7,cup
r_019,oil,1.2,gram
r_019,oil,1.3,tsp
r_019,chilli,1.3,cup
r_019,onion,1.5,cup
r_019,onion,0.8,tbsp
r_019,onion,1.6,tsp
r_019,,-1,tsp
r_020,chilli,0.6,pieces
r_020,onion,1.4,gram
r_020,salt,1.4,tsp
r_021,tomato,0.8,pieces
r_021,rice,1.3,pieces
r_021,garlic,1.1,cup
r_021,garlic,1.8,pieces
r_022,ginger,1.5,cup
r_022,salt,1.7,tbsp
r_022,tomato,1.7,gram
r_022,chilli,1.9,pieces
r_023,oil,1.1,cup
r_023,garlic,1.8,pieces
r_023,salt,1.6,tbsp
r_023,salt,1.0,gram
r_023,tomato,0.9,tsp
r_023,rice,0.6,gram
r_024,salt,1.7,tsp
r_024,oil,0.9,tsp
r_024,chilli,2.0,gram
r_024,rice,1.9,gram
r_024,rice,1.3,tbsp
r_025,tomato,1.5,cup
r_025,pepper,1.5,cup
r_025,salt,0.8,pieces
r_026,onion,0.9,cup
r_026,garlic,0.6,tsp
r_026,rice,1.9,gram
r_026,ginger,0.6,cup
r_026,garlic,0.7,tbsp
r_026,onion,0.7,cup
r_027,garlic,1.2,tbsp
r_027,chilli,1.4,cup
r_027,pepper,1.8,gram
r_027,chilli,2.0,cup
r_028,chilli,2.0,cup
r_028,rice,1.9,tsp
r_028,ginger,0.7,tsp
r_028,pepper,1.4,cup
r_029,onion,2.0,pieces
r_029,onion,0.7,tbsp
r_029,chilli,1.4,pieces
r_029,oil,1.5,pieces
r_029,rice,1.9,tsp
r_030,chilli,0.9,pieces
r_030,onion,1.9,cup
r_030,rice,1.9,pieces
