avg_rating,cook_attempt,likes,recipe_id,views
3.6,1,121,r_030,335
4.3,1,88,r_011,318
4.0,4,16,r_014,230
4.5,3,13,r_007,175
4.8,7,78,r_011,329
4.4,8,137,r_019,212
3.6,3,67,r_028,57
3.9,5,78,r_011,137
4.8,1,90,r_004,222
4.0,2,21,r_013,78
4.5,6,12,r_019,152
3.6,8,13,r_016,121
3.0,4,97,r_013,171
4.3,4,130,r_021,112
4.5,6,87,r_023,212
4.7,10,11,r_001,238
4.5,9,90,r_007,408
4.2,6,68,r_005,285
3.9,2,50,r_013,373
4.7,7,55,r_006,130
3.6,9,78,r_006,78
3.4,6,145,r_012,358
3.6,4,100,r_011,291
4.4,10,6,r_006,496
4.1,4,85,r_013,92
3.7,7,147,r_022,47
3.1,5,48,r_011,61
3.9,10,42,r_006,291
4.6,5,50,r_022,308
3.0,5,15,r_017,311
3.4,7,56,r_008,301
4.8,4,16,r_001,497
seven,10,123,r_024,195
4.7,3,103,r_030,223
3.2,10,70,r_015,234
3.4,4,12,r_013,260
4.9,9,141,r_016,350
4.9,3,74,r_026,391
3.1,3,38,r_013,34
4.5,9,92,r_007,234
5.0,8,66,r_008,499
4.6,6,88,r_005,58
4.7,3,105,r_001,187
3.3,7,114,r_023,21
4.0,1,90,r_008,179
4.5,4,59,r_028,66
4.5,10,145,r_018,24
3.7,7,69,r_026,347
4.7,4,67,r_021,317
3.8,6,91,r_006,254
3.7,7,95,r_028,477
4.7,4,73,r_022,132
4.6,7,147,r_023,81
seven,3,64,r_005,255
seven,6,127,r_005,133
3.9,8,143,r_027,97
3.8,1,139,r_023,175
4.5,8,111,r_018,177
3.5,4,78,r_018,108
4.9,3,36,r_006,105
