recipe_id,step_order,step_text
r_001,1,Step 1: Follow cooking instruction 1...
r_001,2,Step 2: Follow cooking instruction 2...
r_001,3,Step 3: Follow cooking instruction 3...
r_001,4,Step 4: Follow cooking instruction 4...
r_001,5,Step 5: Follow cooking instruction 5...
r_002,1,Step 1: Follow cooking instruction 1...
r_002,2,Step 2: Follow cooking instruction 2...
r_002,3,Step 3: Follow cooking instruction 3...
r_003,1,Step 1: Follow cooking instruction 1...
r_003,2,Step 2: Follow cooking instruction 2...
r_003,3,Step 3: Follow cooking instruction 3...
r_003,4,Step 4: Follow cooking instruction 4...
r_003,5,Step 5: Follow cooking instruction 5...
r_004,1,Step 1: Follow cooking instruction 1...
r_004,2,Step 2: Follow cooking instruction 2...
r_004,3,Step 3: Follow cooking instruction 3...
r_004,4,Step 4: Follow cooking instruction 4...
r_004,5,Step 5: Follow cooking instruction 5...
r_004,6,Step 6: Follow cooking instruction 6...
r_005,1,Step 1: Follow cooking instruction 1...
r_005,2,Step 2: Follow cooking instruction 2...
r_005,3,Step 3: Follow cooking instruction 3...
r_006,1,Step 1: Follow cooking instruction 1...
r_006,2,Step 2: Follow cooking instruction 2...
r_006,3,Step 3: Follow cooking instruction 3...
r_006,,
r_007,1,Step 1: Follow cooking instruction 1...
r_007,2,Step 2: Follow cooking instruction 2...
r_007,3,Step 3: Follow cooking instruction 3...
r_007,4,Step 4: Follow cooking instruction 4...
r_007,5,Step 5: Follow cooking instruction 5...
r_007,6,Step 6: Follow cooking instruction 6...
r_008,1,Step 1: Follow cooking instruction 1...
r_008,2,Step 2: Follow cooking instruction 2...
r_008,3,Step 3: Follow cooking instruction 3...
r_008,4,Step 4: Follow cooking instruction 4...
r_008,5,Step 5: Follow cooking instruction 5...
r_008,6,Step 6: Follow cooking instruction 6...
r_009,1,Step 1: Follow cooking instruction 1...
r_009,2,Step 2: Follow cooking instruction 2...
r_009,3,Step 3: Follow cooking instruction 3...
r_009,4,Step 4: Follow cooking instruction 4...
r_010,1,Step 1: Follow cooking instruction 1...
r_010,2,Step 2: Follow cooking instruction 2...
r_010,3,Step 3: Follow cooking instruction 3...
r_010,4,Step 4: Follow cooking instruction 4...
r_010,5,Step 5: Follow cooking instruction 5...
r_010,6,Step 6: Follow cooking instruction 6...
r_011,1,Step 1: Follow cooking instruction 1...
r_011,2,Step 2: Follow cooking instruction 2...
r_011,3,Step 3: Follow cooking instruction 3...
r_012,1,Step 1: Follow cooking instruction 1...
r_012,2,Step 2: Follow cooking instruction 2...
r_012,3,Step 3: Follow cooking instruction 3...
r_012,4,Step 4: Follow cooking instruction 4...
r_013,1,Step 1: Follow cooking instruction 1...
r_013,2,Step 2: Follow cooking instruction 2...
r_013,3,Step 3: Follow cooking instruction 3...
r_014,1,Step 1: Follow cooking instruction 1...
r_014,2,Step 2: Follow cooking instruction 2...
r_014,3,Step 3: Follow cooking instruction 3...
r_015,1,Step 1: Follow cooking instruction 1...
r_015,2,Step 2: Follow cooking instruction 2...
r_015,3,Step 3: Follow cooking instruction 3...
r_016,1,Step 1: Follow cooking instruction 1...
r_016,2,Step 2: Follow cooking instruction 2...
r_016,3,Step 3: Follow cooking instruction 3...
r_016,,
r_017,1,Step 1: Follow cooking instruction 1...
r_017,2,Step 2: Follow cooking instruction 2...
r_017,3,Step 3: Follow cooking instruction 3...
r_017,4,Step 4: Follow cooking instruction 4...
r_018,1,Step 1: Follow cooking instruction 1...
r_018,2,Step 2: Follow cooking instruction 2...
r_018,3,Step 3: Follow cooking instruction 3...
r_019,1,Step 1: Follow cooking instruction 1...
r_019,2,Step 2: Follow cooking instruction 2...
r_019,3,Step 3: Follow cooking instruction 3...
r_020,1,Step 1: Follow cooking instruction 1...
r_020,2,Step 2: Follow cooking instruction 2...
r_020,3,Step 3: Follow cooking instruction 3...
r_020,4,Step 4: Follow cooking instruction 4...
r_021,1,Step 1: Follow cooking instruction 1...
r_021,2,Step 2: Follow cooking instruction 2...
r_021,3,Step 3: Follow cooking instruction 3...
r_022,1,Step 1: Follow cooking instruction 1...
r_022,2,Step 2: Follow cooking instruction 2...
r_022,3,Step 3: Follow cooking instruction 3...
r_023,1,Step 1: Follow cooking instruction 1...
r_023,2,Step 2: Follow cooking instruction 2...
r_023,3,Step 3: Follow cooking instruction 3...
r_023,4,Step 4: Follow cooking instruction 4...
r_024,1,Step 1: Follow cooking instruction 1...
r_024,2,Step 2: Follow cooking instruction 2...
r_024,3,Step 3: Follow cooking instruction 3...
r_025,1,Step 1: Follow cooking instruction 1...
r_025,2,Step 2: Follow cooking instruction 2...
r_025,3,Step 3: Follow cooking instruction 3...
r_025,4,Step 4: Follow cooking instruction 4...
r_026,1,Step 1: Follow cooking instruction 1...
r_026,2,Step 2: Follow cooking instruction 2...
r_026,3,Step 3: Follow cooking instruction 3...
r_026,4,Step 4: Follow cooking instruction 4...
r_027,1,Step 1: Follow cooking instruction 1...
r_027,2,Step 2: Follow cooking instruction 2...
r_027,3,Step 3: Follow cooking instruction 3...
r_027,4,Step 4: Follow cooking instruction 4...
r_028,1,Step 1: Follow cooking instruction 1...
r_028,2,Step 2: Follow cooking instruction 2...
r_028,3,Step 3: Follow cooking instruction 3...
r_028,4,Step 4: Follow cooking instruction 4...
r_028,5,Step 5: Follow cooking instruction 5...
r_029,1,Step 1: Follow cooking instruction 1...
r_029,2,Step 2: Follow cooking instruction 2...
r_029,3,Step 3: Follow cooking instruction 3...
r_029,4,Step 4: Follow cooking instruction 4...
r_029,5,Step 5: Follow cooking instruction 5...
r_029,6,Step 6: Follow cooking instruction 6...
r_030,1,Step 1: Follow cooking instruction 1...
r_030,2,Step 2: Follow cooking instruction 2...
r_030,3,Step 3: Follow cooking instruction 3...
r_030,,
